timestamp,project_root,target_class,line_coverage_pct,mutation_score_pct,flaky_count,total_generated_tests,flaky_rate_pct,pit_path,jacoco_path,idflakies_candidates
2025-11-21T22:12:06.927978Z,/home/wangjeffrey4/commons-cli,DefaultParser,0.0,44.59,,,,/home/wangjeffrey4/commons-cli/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-cli/target/site/jacoco/jacoco.csv,
2025-11-21T22:36:24.475522Z,/home/wangjeffrey4/commons-cli,DefaultParser,39.56,44.59,,,,/home/wangjeffrey4/commons-cli/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-cli/target/site/jacoco/jacoco.csv,
2025-11-21T22:46:01.173182Z,/home/wangjeffrey4/commons-cli,Option,39.19,86.67,,,,/home/wangjeffrey4/commons-cli/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-cli/target/site/jacoco/jacoco.csv,
2025-11-21T22:57:15.622240Z,/home/wangjeffrey4/commons-cli,Options,94.37,68.75,,,,/home/wangjeffrey4/commons-cli/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-cli/target/site/jacoco/jacoco.csv,
2025-11-21T23:27:42.172390Z,/home/wangjeffrey4/commons-cli,CommandLine,89.93,78.1,,,,/home/wangjeffrey4/commons-cli/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-cli/target/site/jacoco/jacoco.csv,
2025-11-21T23:32:43.671927Z,/home/wangjeffrey4/commons-cli,DefaultParser,42.22,59.21,,,,/home/wangjeffrey4/commons-cli/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-cli/target/site/jacoco/jacoco.csv,
2025-11-21T23:34:59.773743Z,/home/wangjeffrey4/commons-cli,Option,55.41,94.83,,,,/home/wangjeffrey4/commons-cli/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-cli/target/site/jacoco/jacoco.csv,
2025-11-21T23:42:05.174233Z,/home/wangjeffrey4/commons-cli,Options,97.18,67.65,,,,/home/wangjeffrey4/commons-cli/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-cli/target/site/jacoco/jacoco.csv,
2025-11-21T23:46:12.150897Z,/home/wangjeffrey4/commons-cli,org.apache.commons.cli.HelpFormatter,77.24,39.81,,,,/home/wangjeffrey4/commons-cli/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-cli/target/site/jacoco/jacoco.csv,
2025-11-21T23:57:16.003445Z,/home/wangjeffrey4/commons-cli,CommandLine,89.93,76.24,,,,/home/wangjeffrey4/commons-cli/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-cli/target/site/jacoco/jacoco.csv,
2025-11-22T00:01:55.958765Z,/home/wangjeffrey4/commons-cli,DefaultParser,50.22,62.07,,,,/home/wangjeffrey4/commons-cli/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-cli/target/site/jacoco/jacoco.csv,
2025-11-22T00:04:13.692682Z,/home/wangjeffrey4/commons-cli,Option,60.14,87.93,,,,/home/wangjeffrey4/commons-cli/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-cli/target/site/jacoco/jacoco.csv,
2025-11-22T00:06:36.640752Z,/home/wangjeffrey4/commons-cli,Options,94.37,65.62,,,,/home/wangjeffrey4/commons-cli/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-cli/target/site/jacoco/jacoco.csv,
2025-11-22T00:11:24.968335Z,/home/wangjeffrey4/commons-cli,org.apache.commons.cli.HelpFormatter,77.24,47.75,,,,/home/wangjeffrey4/commons-cli/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-cli/target/site/jacoco/jacoco.csv,
2025-11-22T00:24:28.884135Z,/home/wangjeffrey4/commons-cli,CommandLine,83.45,71.84,,,,/home/wangjeffrey4/commons-cli/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-cli/target/site/jacoco/jacoco.csv,
2025-11-22T00:32:28.855411Z,/home/wangjeffrey4/commons-cli,DefaultParser,31.11,34.0,,,,/home/wangjeffrey4/commons-cli/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-cli/target/site/jacoco/jacoco.csv,
2025-11-22T00:35:30.153079Z,/home/wangjeffrey4/commons-cli,Option,48.65,80.39,,,,/home/wangjeffrey4/commons-cli/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-cli/target/site/jacoco/jacoco.csv,
2025-11-22T00:37:19.108678Z,/home/wangjeffrey4/commons-cli,Options,94.37,53.12,,,,/home/wangjeffrey4/commons-cli/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-cli/target/site/jacoco/jacoco.csv,
2025-11-22T00:39:40.703554Z,/home/wangjeffrey4/commons-cli,org.apache.commons.cli.HelpFormatter,77.24,45.0,,,,/home/wangjeffrey4/commons-cli/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-cli/target/site/jacoco/jacoco.csv,
2025-11-22T00:51:57.762070Z,/home/wangjeffrey4/commons-cli,CommandLine,92.09,76.19,,,,/home/wangjeffrey4/commons-cli/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-cli/target/site/jacoco/jacoco.csv,
2025-11-22T00:54:43.819191Z,/home/wangjeffrey4/commons-cli,DefaultParser,47.11,52.33,,,,/home/wangjeffrey4/commons-cli/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-cli/target/site/jacoco/jacoco.csv,
2025-11-22T00:57:16.963167Z,/home/wangjeffrey4/commons-cli,Option,50.0,76.47,,,,/home/wangjeffrey4/commons-cli/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-cli/target/site/jacoco/jacoco.csv,
2025-11-22T01:03:12.047715Z,/home/wangjeffrey4/commons-cli,Options,90.14,50.0,,,,/home/wangjeffrey4/commons-cli/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-cli/target/site/jacoco/jacoco.csv,
2025-11-22T01:07:06.367597Z,/home/wangjeffrey4/commons-cli,org.apache.commons.cli.HelpFormatter,78.86,39.76,,,,/home/wangjeffrey4/commons-cli/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-cli/target/site/jacoco/jacoco.csv,
2025-11-22T01:24:36.541601Z,/home/wangjeffrey4/commons-cli,CommandLine,79.86,68.69,,,,/home/wangjeffrey4/commons-cli/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-cli/target/site/jacoco/jacoco.csv,
2025-11-22T01:34:15.897794Z,/home/wangjeffrey4/commons-cli,DefaultParser,39.56,48.65,,,,/home/wangjeffrey4/commons-cli/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-cli/target/site/jacoco/jacoco.csv,
2025-11-22T01:38:04.404459Z,/home/wangjeffrey4/commons-cli,Option,48.65,72.55,,,,/home/wangjeffrey4/commons-cli/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-cli/target/site/jacoco/jacoco.csv,
2025-11-22T01:42:22.470277Z,/home/wangjeffrey4/commons-cli,Options,83.1,59.26,,,,/home/wangjeffrey4/commons-cli/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-cli/target/site/jacoco/jacoco.csv,
2025-11-22T01:45:45.313137Z,/home/wangjeffrey4/commons-cli,org.apache.commons.cli.HelpFormatter,77.64,46.67,,,,/home/wangjeffrey4/commons-cli/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-cli/target/site/jacoco/jacoco.csv,
2025-11-22T01:58:31.959076Z,/home/wangjeffrey4/commons-cli,CommandLine,91.37,72.38,,,,/home/wangjeffrey4/commons-cli/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-cli/target/site/jacoco/jacoco.csv,
2025-11-22T02:08:05.944854Z,/home/wangjeffrey4/commons-cli,DefaultParser,44.0,51.25,,,,/home/wangjeffrey4/commons-cli/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-cli/target/site/jacoco/jacoco.csv,
2025-11-22T02:10:27.586263Z,/home/wangjeffrey4/commons-cli,Option,50.0,66.67,,,,/home/wangjeffrey4/commons-cli/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-cli/target/site/jacoco/jacoco.csv,
2025-11-22T02:14:22.731169Z,/home/wangjeffrey4/commons-cli,Options,98.59,72.73,,,,/home/wangjeffrey4/commons-cli/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-cli/target/site/jacoco/jacoco.csv,
2025-11-22T02:16:44.403863Z,/home/wangjeffrey4/commons-cli,org.apache.commons.cli.HelpFormatter,78.86,42.86,,,,/home/wangjeffrey4/commons-cli/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-cli/target/site/jacoco/jacoco.csv,
